smiles,mutagenicity
O=C(Cl)c1ccc(C(=O)Cl)cc1,1
CC1CCC2C(C)C3C(CC4C5CC=C6CC(O)CCC6(C)C5CCC43C)N2C1,0
CC(C)=C(Cl)C=O,1
Cc1cccc2c1ccc1cc(C(C)C)ccc12,0
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,0
Fc1cccnc1,0
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0
CC(Br)Br,0
CCCCCCCCCCCC(=O)NCCO,0
COc1c(Cl)cc2c(c1OC)N(C)C1N3C(=O)C4(C)SSC3(C(=O)N4C)C(O)C21O,0
Cc1cccc(NC(=O)c2csc([N+](=O)[O-])c2)c1,1
COP(C)(=O)OC,0
CN(C)C=O,0
CCc1c2ccccc2c(CC)c2c1ccc1ccccc12,0
CCN(CCCl)CCCNc1c2ccc(Cl)cc2nc2ccc(OC)cc12,1
O=NN1CCSC1CO,1
O=CN(O)c1ccc(C=Cc2ccccc2)cc1,1
O=C(Cl)c1cccc(Cl)c1,1
O=C1C=Cc2ccc3c4c(ccc1c24)C=CC3=O,1
CC(C)N,0
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,1
CCc1cccc2c3c([nH]c12)C(C)(CC)OCC3,0
O=[N+]([O-])c1ccc2nc3ccccc3nc2c1,1
CCOc1ccc(NO)cc1,1
CN(Cc1ccc(F)cc1)N=O,1
Cc1nc2cc(C)c3c(nc(N)n3C)c2nc1C,1
CC(C)(C)N(CCO)CCO,0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,0
CSCCC=O,0
CN(C)CCN(C)C,0
C=CC(=O)N1CCN(c2ccccc2)CC1,0
Nc1cccc2cc3ccccc3cc12,1
CC(=O)Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0
Cn1c([N+](=O)[O-])nc2ccccc21,1
CN(C)CCNC(=O)c1cccc2c(=O)c3ccccc3sc12,1
CC1CS1,0
O=C(O)Cc1ccc(Cl)cc1,0
CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,0
COC(C(=O)C(O)C(C)O)C1Cc2cc3cc(OC4CC(OC5CC(O)C(OC)C(C)O5)C(OC(C)=O)C(C)O4)c(C)c(O)c3c(O)c2C(=O)C1OC1CC(OC2CC(OC3CC(C)(O)C(OC(C)=O)C(C)O3)C(O)C(C)O2)C(O)C(C)O1,0
O=CC(=C(Cl)Cl)C(Cl)Cl,1
Cc1cc(C)c(C)cc1C,0
Cc1nn(C)c(N)c1C(=O)c1ccccc1F,1
Cc1c([N+](=O)[O-])c2ccccc2c2ccc3ccccc3c12,1
BrCc1ccccc1CBr,0
COc1ccccc1[N+](=O)[O-],1
O=C(Nc1ccccc1[N+](=O)[O-])c1csc([N+](=O)[O-])c1,1
CNP1(NC)=NP(NC)(NC)=NP(NC)(NC)=N1,0
O=C1N(CO)C(O)C(O)N1CO,1
Cc1ccc(C)cc1,0
Cc1cnc2c(n1)c(C)cc1c2nc(N)n1C,1
OCCOc1cc(Cl)c(Cl)cc1Cl,0
Nc1ccc(O)c([N+](=O)[O-])c1,1
Cc1ccc(C)c(C)c1C,0
CCN(CC)c1cccc(O)c1,1
CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1,0
C=CCN(CC=C)CC=C,0
c1ccc(P(c2ccccc2)c2ccccc2)cc1,0
CCCCOP(=O)(OCCCC)OCCCC,0
O=C(O)COc1ccc(Cl)cc1Cl,0
COP(=S)(OC)SCC(=O)NCC=O,0
