smiles,mutagenicity
CNCC(O)c1ccc(O)c(O)c1,0
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,0
O=c1cn[nH]c(=O)[nH]1,1
NNc1nnc(NN)c2ccccc12,1
Nc1ccc(N)cc1,1
Nc1ccc(-c2ccc(N)cc2)cc1,1
NCC(=O)O,0
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,0
COc1cc(NC(C)CCCN)c2ncccc2c1,1
CN=NO,1
NC(CCC(=O)O)C(=O)O,0
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,0
O=c1cn[nH]c(=O)[nH]1,1
COc1ccc(N)c(OC)c1,1
NC(CCC(=O)O)C(=O)O,0
CCC(=O)O,0
O=C(O)COc1ccc(Cl)cc1Cl,0
Nc1ccc(Cc2ccc(N)cc2)cc1,1
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0
Sc1ncnc2nc[nH]c12,1
Oc1cc(O)cc(O)c1,0
Oc1cccc2cccnc12,1
O=C(O)COc1ccc(Cl)cc1Cl,0
CNCCCNCCCNC(=O)c1csc(-c2csc(CCNC(=O)C(NC(=O)C(C)C(O)C(C)NC(=O)C(NC(=O)c3nc(C(CC(N)=O)NCC(N)C(N)=O)nc(N)c3C)C(OC3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(OC(N)=O)C3O)c3c[nH]cn3)C(C)O)n2)n1,1
CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O)c2ccccc2)C(=O)C1=O,0
COc1ccc(N)cc1N,1
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,0
O=c1cn[nH]c(=O)[nH]1,1
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0
NC(CCC(=O)O)C(=O)O,0
Nc1ccccc1-c1ccccc1,1
CCCn1cc2c3c(cccc31)C1C=C(C)CN(C)C1C2,1
Cc1cc(N=Nc2ccccc2C)ccc1N,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,1
O=C(O)CS,0
Nc1ccc2cc3ccc(N)cc3nc2c1,1
Nc1ccc2cc3ccc(N)cc3nc2c1,1
O=C(O)CN(CC(=O)O)CC(=O)O,0
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0
O=C1OC(C(O)CO)C(O)=C1O,0
O=S(=O)(O)OCc1c2ccccc2c2ccc3cccc4ccc1c2c43,1
Cc1c(N)cccc1N,1
COc1ccc(N)cc1,1
CCCCCCCCCCCCCCCCCC(=O)O,0
O=c1cc(O)c1=O,0
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,1
CC(O)C(=O)O,0
O=C(O)c1ccccc1,0
NN=C1N=NC=C2C=CC=CC21,1
OCc1c2ccccc2cc2c1ccc1ccccc12,1
Cc1c(N(C)CS(=O)(=O)O)c(=O)n(-c2ccccc2)n1C,1
COc1ccccc1N,1
O=C(O)CC(O)(CC(=O)O)C(=O)O,0
NC(CCC(=O)O)C(=O)O,0
CNNCc1ccc(C(=O)NC(C)C)cc1,0
O=C(O)C=CC(=O)O,0
Cc1ccccc1N,1
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,1
O=C(O)CCC(=O)O,0
NNc1ccccc1,1
O=C(O)COc1ccc(Cl)cc1Cl,0
O=C(O)CN(CC(=O)O)CC(=O)O,0
Cc1cccc(N)c1,0
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0
O=C(O)C(Cl)(Cl)Cl,0
